iter	TotalF1	MultiClass
180	0.6390692504	0.8024756394
181	0.6406001786	0.8016024285
182	0.6413843099	0.8004823289
183	0.6417851648	0.7999417389
184	0.644477796	0.798857412
185	0.6434840821	0.7985425462
186	0.6446363353	0.7980573025
187	0.6454135896	0.7970761966
188	0.6472040602	0.7965424625
189	0.6495063429	0.7957268029
190	0.6491435968	0.7948443636
191	0.649683499	0.7938957067
192	0.6504758288	0.7932091448
193	0.6521306307	0.7921362084
194	0.6533509684	0.791211832
195	0.6531592098	0.7905870878
196	0.6550365167	0.7896984388
197	0.6559584999	0.789049553
198	0.6579905048	0.7882136707
199	0.6596972214	0.7874814167
200	0.6617779138	0.7869437026
201	0.6636614026	0.7855028478
202	0.6644824631	0.7847420124
203	0.6654214601	0.7838955654
204	0.6660327932	0.7831638771
205	0.6671790828	0.782360185
206	0.6679549788	0.781641948
207	0.6689799838	0.7807864899
208	0.670937868	0.780034256
209	0.6731707899	0.7790930422
210	0.6753339468	0.7784596768
211	0.6762185331	0.7779811371
212	0.6770027638	0.77735805
213	0.678005973	0.776946531
214	0.6795915449	0.7759735019
215	0.6801724578	0.7751963888
216	0.6820958107	0.7744801905
217	0.6833141994	0.7735688416
218	0.6855260036	0.7727571968
219	0.687006965	0.7719044364
220	0.6872665697	0.7711286574
221	0.6898316719	0.7703033205
222	0.6903448208	0.7697196093
223	0.6916538751	0.7683686982
224	0.6917351452	0.7676399837
225	0.6934024807	0.7665841278
226	0.6938678324	0.7661080083
227	0.694679413	0.765307573
228	0.6950123991	0.7649359146
229	0.6979023896	0.7640709061
230	0.6983952055	0.7633997987
231	0.6984759435	0.7624816337
232	0.6998642313	0.7615150206
233	0.7018685006	0.7606129369
234	0.7031678728	0.7598466803
235	0.703786324	0.7588159043
236	0.7046184428	0.7583171953
237	0.704312026	0.7576313855
238	0.7046942222	0.7568329301
239	0.7055985929	0.7562829391
240	0.7065023109	0.7555876933
241	0.7086034354	0.7549096846
242	0.7088593401	0.7541448202
243	0.709498473	0.7536156475
244	0.7101081668	0.7527382359
245	0.7123674632	0.7519456829
246	0.7146810348	0.7512642226
247	0.7162449366	0.7505312198
248	0.7158294474	0.7498065393
249	0.717291391	0.7492111241
250	0.7188412	0.7485742113
251	0.7184068725	0.7481465382
252	0.7200511424	0.7474826508
253	0.7208561893	0.7470354549
254	0.7214095415	0.7463560685
255	0.7222329483	0.7453254383
256	0.723455611	0.7443754676
257	0.7239498259	0.7436922067
258	0.7243537347	0.7427909063
259	0.7259336457	0.7420527054
260	0.7255259874	0.7413520469
261	0.7271341929	0.7404468465
262	0.7285345064	0.739618176
263	0.7293070946	0.7388713056
264	0.7288724699	0.7382885422
265	0.7299319039	0.7378426396
266	0.7306150177	0.7373536511
267	0.7304265431	0.7365777687
268	0.7316435862	0.7354965699
269	0.732889126	0.7347580846
270	0.7333064232	0.7342662537
271	0.7345306335	0.7334993318
272	0.734476225	0.7328731036
273	0.7357184116	0.7322078726
274	0.7360486202	0.7312144275
275	0.7373617963	0.7306164492
276	0.7385778222	0.7300878072
